Time_Step,FIRST_FIT,BEST_FIT,WORST_FIT,BUDDY,MIXED
389,0.8899,0.9242,0.8016,0.6845,0.9125
390,0.8819,0.9159,0.7944,0.6816,0.9043
391,0.8749,0.9086,0.7881,0.6810,0.8971
392,0.8627,0.8960,0.7771,0.6748,0.8846
393,0.8647,0.8982,0.7789,0.6763,0.8867
394,0.8760,0.9099,0.7891,0.6850,0.8983
395,0.8815,0.9156,0.7941,0.6828,0.9039
396,0.8892,0.9236,0.8010,0.6823,0.9118
397,0.8787,0.9127,0.7915,0.6818,0.9011
398,0.8858,0.9201,0.7979,0.6809,0.9083
399,0.8807,0.9260,0.8030,0.6851,0.9142
400,0.8851,0.9306,0.8070,0.6821,0.9188
401,0.8904,0.9243,0.8118,0.6860,0.9128
402,0.8900,0.9235,0.8123,0.6875,0.9121
403,0.8845,0.9178,0.8073,0.6821,0.9065
404,0.8889,0.9224,0.8113,0.6854,0.9110
405,0.8876,0.9206,0.8110,0.6863,0.9094
406,0.8866,0.9196,0.8100,0.6813,0.9084
407,0.8753,0.9078,0.7997,0.6728,0.8968
408,0.8710,0.9034,0.7958,0.6724,0.8924
409,0.8680,0.9002,0.7930,0.6638,0.8893
410,0.8732,0.9057,0.7978,0.6677,0.8947
411,0.8667,0.8989,0.7918,0.6623,0.8880
412,0.8583,0.9111,0.7857,0.6594,0.8789
413,0.8662,0.9195,0.7930,0.6655,0.8870
414,0.8617,0.9146,0.7888,0.6617,0.8824
415,0.8683,0.9105,0.7948,0.6666,0.8891
416,0.8642,0.9063,0.7911,0.6656,0.8850
417,0.8559,0.8976,0.7835,0.6568,0.8764
418,0.8592,0.9010,0.7865,0.6592,0.8798
419,0.8594,0.9012,0.7867,0.6593,0.8800
420,0.8651,0.9071,0.7919,0.6636,0.8858
421,0.8727,0.9151,0.7988,0.6694,0.8936
422,0.8734,0.9159,0.7995,0.6699,0.8944
423,0.8781,0.9209,0.8038,0.6735,0.8992
424,0.8776,0.9198,0.8041,0.6807,0.8984
425,0.8791,0.9214,0.8055,0.6818,0.9000
426,0.8772,0.9194,0.8037,0.6800,0.8980
427,0.8753,0.9175,0.8020,0.6770,0.8961
428,0.8765,0.9188,0.8031,0.6778,0.8973
429,0.8807,0.9231,0.8069,0.6810,0.9015
430,0.8823,0.9248,0.8084,0.6822,0.9032
431,0.8738,0.9159,0.8006,0.6816,0.8945
432,0.8843,0.9159,0.8102,0.6896,0.8947
433,0.8751,0.9064,0.8017,0.6817,0.8854
434,0.8777,0.9091,0.8041,0.6836,0.8880
435,0.8872,0.9189,0.8128,0.6849,0.8976
436,0.8845,0.9265,0.8111,0.6846,0.9050
437,0.8786,0.9204,0.8057,0.6814,0.8991
438,0.8760,0.9172,0.8123,0.6810,0.9064
439,0.8797,0.9211,0.8158,0.6838,0.9102
440,0.8782,0.9191,0.8151,0.6843,0.9084
441,0.8746,0.9152,0.8117,0.6790,0.9046
442,0.8838,0.9144,0.8120,0.6861,0.9039
443,0.8874,0.9181,0.8153,0.6888,0.9076
444,0.8839,0.9145,0.8120,0.6823,0.9039
445,0.8844,0.9151,0.8125,0.6826,0.9045
446,0.8814,0.9116,0.8105,0.6877,0.9012
447,0.8840,0.9143,0.8129,0.6897,0.9038
448,0.8804,0.9204,0.8102,0.6885,0.8999
449,0.8784,0.9180,0.8091,0.6827,0.8977
450,0.8737,0.9130,0.8047,0.6759,0.8929
451,0.8787,0.9183,0.8015,0.6798,0.8980
452,0.8769,0.9164,0.7999,0.6722,0.8962
453,0.8747,0.9140,0.7978,0.6688,0.8939
454,0.8738,0.9127,0.7978,0.6754,0.8928
455,0.8747,0.9137,0.7986,0.6760,0.8937
456,0.8654,0.9040,0.7901,0.6725,0.8842
457,0.8661,0.9047,0.7908,0.6729,0.8850
458,0.8749,0.9139,0.7988,0.6799,0.8939
459,0.8741,0.9126,0.7988,0.6808,0.8929
460,0.8748,0.9133,0.7994,0.6813,0.8936
461,0.8750,0.9136,0.7996,0.6815,0.8939
462,0.8788,0.9176,0.8031,0.6844,0.8978
463,0.8761,0.9147,0.8006,0.6820,0.8949
464,0.8745,0.9131,0.7992,0.6763,0.8934
465,0.8723,0.9104,0.8055,0.6818,0.8909
466,0.8762,0.9145,0.8091,0.6848,0.8949
467,0.8723,0.9104,0.8055,0.6819,0.8909
468,0.8728,0.9110,0.8059,0.6822,0.8914
469,0.8739,0.9117,0.8076,0.6847,0.8924
470,0.8719,0.9092,0.8063,0.6845,0.8994
471,0.8755,0.9130,0.8097,0.6874,0.9031
472,0.8753,0.9123,0.8101,0.6887,0.9026
473,0.8809,0.9183,0.8078,0.6877,0.8991
474,0.8781,0.9154,0.8053,0.6825,0.8963
475,0.8746,0.9114,0.8027,0.6866,0.8925
476,0.8689,0.9054,0.7975,0.6811,0.8867
477,0.8651,0.9015,0.7940,0.6804,0.8828
478,0.8730,0.9003,0.7940,0.6867,0.8819
479,0.8773,0.9048,0.7979,0.6847,0.8863
480,0.8824,0.9101,0.7954,0.6834,0.8827
481,0.8774,0.9138,0.7987,0.6862,0.8864
482,0.8794,0.9160,0.8005,0.6878,0.8884
483,0.8818,0.9184,0.8027,0.6842,0.8908
484,0.8843,0.9211,0.8050,0.6862,0.8934
485,0.8851,0.9219,0.8057,0.6868,0.8942
486,0.8770,0.9135,0.7984,0.6828,0.8861
487,0.8831,0.9198,0.8039,0.6876,0.8922
488,0.8827,0.9190,0.8042,0.6887,0.8917
489,0.8815,0.9175,0.8039,0.6893,0.8904
490,0.8771,0.9128,0.7998,0.6850,0.8859
491,0.8816,0.9176,0.8039,0.6886,0.8904
492,0.8810,0.9166,0.8040,0.6895,0.8897
493,0.8714,0.9066,0.7953,0.6838,0.8800
494,0.8773,0.9128,0.8007,0.6886,0.8860
495,0.8720,0.9072,0.7958,0.6863,0.8806
496,0.8708,0.9057,0.8023,0.6868,0.8879
497,0.8640,0.8980,0.7972,0.6840,0.8806
498,0.8630,0.8969,0.7964,0.6794,0.8797
499,0.8623,0.8962,0.7957,0.6765,0.8790
500,0.8664,0.9005,0.7995,0.6798,0.8831
501,0.8702,0.9044,0.8030,0.6828,0.8870
502,0.8652,0.8992,0.7983,0.6818,0.8818
503,0.8645,0.9068,0.8051,0.6877,0.8810
504,0.8662,0.9086,0.8067,0.6891,0.8827
505,0.8674,0.9099,0.8078,0.6900,0.8839
506,0.8601,0.9022,0.8010,0.6893,0.8765
507,0.8637,0.9060,0.8043,0.6871,0.8802
508,0.8687,0.9112,0.8090,0.6860,0.8853
509,0.8707,0.9134,0.8109,0.6876,0.8874
510,0.8733,0.9161,0.8133,0.6896,0.8900
511,0.8725,0.9152,0.8125,0.6864,0.8891
512,0.8734,0.9245,0.8139,0.6885,0.8899
